disease,a,b,cosine,flagged
ALPH,ALPH.1,ALPH.5,0.8551825,False
CAN,CAN.2,CAN.4,0.8560038,False
COD,COD.2,COD.4,0.8568676,False
MPS,MPS.4,MPS.5,0.85733664,False
WAL,WAL.1,WAL.2,0.8574261,False
POM,POM.1,POM.2,0.85798085,False
BART,BART.2,BART.5,0.8584972,False
PON,PON.1,PON.5,0.8613871,False
HYPO,HYPO.2,HYPO.5,0.86183286,False
BAR,BAR.3,BAR.5,0.8620503,False
JUV,JUV.2,JUV.4,0.8622129,False
OST,OST.1,OST.3,0.86229515,False
COND,COND.1,COND.2,0.86269826,False
AIC,AIC.1,AIC.4,0.8627081,False
BAI,BAI.1,BAI.2,0.8636816,False
ALL,ALL.2,ALL.3,0.8647516,False
MOR,MOR.1,MOR.3,0.86482567,False
PRIM,PRIM.2,PRIM.4,0.86564523,False
TUR,TUR.3,TUR.4,0.8659661,False
COM,COM.3,COM.4,0.8661509,False
OCU,OCU.2,OCU.3,0.86616755,False
WOL,WOL.4,WOL.5,0.86627805,False
ART,ART.3,ART.5,0.86756337,False
MPS,MPS.2,MPS.3,0.8675846,False
JUV,JUV.1,JUV.5,0.86765796,False
PTEN,PTEN.1,PTEN.3,0.86766607,False
IMMU,IMMU.3,IMMU.4,0.8676666,False
ODO,ODO.3,ODO.4,0.86795276,False
CRIS,CRIS.4,CRIS.5,0.8681513,False
GEO,GEO.1,GEO.3,0.8682312,False
WAR,WAR.3,WAR.4,0.8682784,False
ALP,ALP.1,ALP.2,0.86884296,False
BARB,BARB.2,BARB.5,0.8699124,False
JOUA,JOUA.1,JOUA.4,0.8710001,False
CRA,CRA.1,CRA.4,0.8711231,False
SIC,SIC.1,SIC.3,0.87125415,False
FANC,FANC.1,FANC.4,0.8713614,False
WAR,WAR.1,WAR.4,0.87179697,False
BAI,BAI.3,BAI.5,0.8718602,False
JUV,JUV.2,JUV.5,0.8720236,False
CLE,CLE.3,CLE.5,0.87212086,False
BOY,BOY.2,BOY.5,0.87279505,False
ODO,ODO.2,ODO.5,0.87288904,False
BAR,BAR.2,BAR.5,0.8733806,False
