omim,disease,hpo_id,freq_value
OMIM:239300,hyperphosphatasia_with_intellectual_disability_syndrome_1,HP:0003196,0.5
OMIM:239300,hyperphosphatasia_with_intellectual_disability_syndrome_1,HP:0010804,0.5
OMIM:243310,Baraitser-Winter_syndrome_1,HP:0000154,0.5
OMIM:243310,Baraitser-Winter_syndrome_1,HP:0000202,0.17
OMIM:243310,Baraitser-Winter_syndrome_1,HP:0000204,0.17
OMIM:243310,Baraitser-Winter_syndrome_1,HP:0000219,1.0
OMIM:243310,Baraitser-Winter_syndrome_1,HP:0000243,0.5
OMIM:243310,Baraitser-Winter_syndrome_1,HP:0000286,0.5
OMIM:243310,Baraitser-Winter_syndrome_1,HP:0000307,0.5
OMIM:243310,Baraitser-Winter_syndrome_1,HP:0000316,0.5
OMIM:243310,Baraitser-Winter_syndrome_1,HP:0000343,0.5
OMIM:243310,Baraitser-Winter_syndrome_1,HP:0000431,0.5
OMIM:243310,Baraitser-Winter_syndrome_1,HP:0000463,0.5
OMIM:243310,Baraitser-Winter_syndrome_1,HP:0000508,0.5
OMIM:243310,Baraitser-Winter_syndrome_1,HP:0000568,0.17
OMIM:243310,Baraitser-Winter_syndrome_1,HP:0000637,0.5
OMIM:243310,Baraitser-Winter_syndrome_1,HP:0002553,0.17
OMIM:243310,Baraitser-Winter_syndrome_1,HP:0003196,0.5
OMIM:252500,mucolipidosis_type_II,HP:0000154,0.14285714285714285
OMIM:252500,mucolipidosis_type_II,HP:0000243,0.14285714285714285
OMIM:252500,mucolipidosis_type_II,HP:0000286,0.5
OMIM:252500,mucolipidosis_type_II,HP:0000316,0.14285714285714285
OMIM:252500,mucolipidosis_type_II,HP:0000341,0.5
OMIM:252500,mucolipidosis_type_II,HP:0000343,0.5
OMIM:252500,mucolipidosis_type_II,HP:0000347,0.14285714285714285
OMIM:252500,mucolipidosis_type_II,HP:0000348,0.14285714285714285
OMIM:252500,mucolipidosis_type_II,HP:0000463,0.5
OMIM:268310,autosomal_recessive_Robinow_syndrome,HP:0000154,0.5
OMIM:268310,autosomal_recessive_Robinow_syndrome,HP:0000202,0.22727272727272727
OMIM:268310,autosomal_recessive_Robinow_syndrome,HP:0000207,0.7083333333333334
OMIM:268310,autosomal_recessive_Robinow_syndrome,HP:0000219,0.5909090909090909
OMIM:268310,autosomal_recessive_Robinow_syndrome,HP:0000272,0.5
OMIM:268310,autosomal_recessive_Robinow_syndrome,HP:0000286,0.3181818181818182
OMIM:268310,autosomal_recessive_Robinow_syndrome,HP:0000316,0.9583333333333334
OMIM:268310,autosomal_recessive_Robinow_syndrome,HP:0000322,0.2727272727272727
OMIM:268310,autosomal_recessive_Robinow_syndrome,HP:0000343,0.5
OMIM:268310,autosomal_recessive_Robinow_syndrome,HP:0000347,0.6818181818181818
OMIM:268310,autosomal_recessive_Robinow_syndrome,HP:0000431,0.9545454545454546
OMIM:268310,autosomal_recessive_Robinow_syndrome,HP:0000463,0.9166666666666666
OMIM:268310,autosomal_recessive_Robinow_syndrome,HP:0000486,0.19047619047619047
OMIM:268310,autosomal_recessive_Robinow_syndrome,HP:0000494,0.3181818181818182
OMIM:268310,autosomal_recessive_Robinow_syndrome,HP:0000508,0.13636363636363635
OMIM:268310,autosomal_recessive_Robinow_syndrome,HP:0000582,0.5
OMIM:268310,autosomal_recessive_Robinow_syndrome,HP:0000637,0.6818181818181818
