feature,bias_224,iqr_224,bias_160,iqr_160,bias_128,iqr_128,bias_96,iqr_96,bias_64,iqr_64,res_drift_224
eye_epicanthus_angle_r,0.029095788322413784,0.1589395925499668,-0.0035306194440561413,0.2942031417936761,-0.027592806672181232,0.42417837672858305,-0.13027957959758213,0.6641599762624253,-0.4289962670337084,1.0022379089438391,0.029095788322413784
eye_epicanthus_angle_l,0.03593359893491581,0.16668964307494383,0.016382593242326455,0.2998548544852378,-0.021806561998738712,0.42754335041807173,-0.1462158586157364,0.7070150307962102,-0.5462635491810287,1.0530491551497465,0.03593359893491581
eye_epicanthus_angle_mean,0.028845766805055906,0.1527429004160161,0.008616812619370005,0.26659231729092403,-0.019372480207994154,0.39207207980076075,-0.14288666446646248,0.6869130325493301,-0.46507789374318936,1.0083565166873976,0.028845766805055906
eye_epicanthus_angle_asym,-0.028101320591202864,0.23547499069624384,-0.025125354623320852,0.3976856104021979,-0.004564004608691181,0.5431754865012757,0.03225914088019715,0.8157204240496869,0.2855850159925349,1.3409766844100799,0.028101320591202864
eye_upper_lid_to_iris_r,-0.006504541726991971,0.15952770914946307,-0.03649021563926094,0.2785564012267356,-0.07938936437715233,0.4013787084216894,-0.23006950368691603,0.6576449614021816,-0.7292853067099674,0.9651520952361572,0.006504541726991971
eye_lower_lid_to_iris_r,0.03320130415588293,0.16256676357359642,-0.0017736921972963432,0.2884376936984038,-0.05482625073197615,0.3738529374409899,-0.18879685696379267,0.5273455329831692,-0.56967011945329,0.9891787461389753,0.03320130415588293
eye_upper_lid_to_iris_l,0.009466362680130742,0.1737390445207813,-0.030242387755475053,0.28504177057913394,-0.07847054577013307,0.4132987162571412,-0.22694469678806803,0.6362442491960798,-0.7172459639996269,1.0497776843116722,0.009466362680130742
eye_lower_lid_to_iris_l,0.02826199559631468,0.1639038606454804,-0.0053110910032794605,0.28827011273781156,-0.07427200626326261,0.41544252629917755,-0.23885145236705346,0.6047797380957761,-0.7068170509282272,1.0442438920177528,0.02826199559631468
eye_upper_lid_to_iris_mean,0.0023852388316927416,0.1656969576643179,-0.03454563309263746,0.31008549219131454,-0.07041763634908678,0.4010950399439843,-0.22857157902211922,0.6325367437330263,-0.7139241714367481,0.9671987368304995,0.0023852388316927416
eye_upper_lid_to_iris_asym,3.6420142489737654e-05,0.0005692648711545525,8.191797137403162e-05,0.0009455907758378664,0.00027986485101901036,0.0013260080182214908,0.0004533528076810253,0.002032139148251389,0.0008781515418419914,0.003435484113153512,3.6420142489737654e-05
eye_lower_lid_to_iris_mean,0.027695011738754167,0.14774776855166366,-0.006578803115738729,0.2884767678909883,-0.06529324773580668,0.38000084829004854,-0.22152249069211752,0.5492808004441695,-0.6217800890902137,1.026285831787508,0.027695011738754167
eye_lower_lid_to_iris_asym,-0.012266578234738354,0.33161584815740874,0.03906124525723565,0.4785318867915255,0.08685840482566827,0.687328284322956,0.23708240930075442,0.954434338846042,0.49767571693046936,1.4728525484286128,0.012266578234738354
eye_area_r,0.003250622200686292,0.14158076179397144,-0.033437120515097354,0.24749957948174195,-0.07937018687035759,0.3559476838429999,-0.2361058761994944,0.5256241652117074,-0.663856213350623,0.8695133115915018,0.003250622200686292
eye_area_l,0.0022039001219600228,0.14805681427453182,-0.02175586568281109,0.24616220879719397,-0.09066400012943954,0.34152059538936064,-0.22709404455060692,0.5161788069827428,-0.6743632228360691,0.9132702347112962,0.0022039001219600228
eye_area_mean,0.0036195924782474443,0.14059168379603426,-0.034948822215474754,0.23162244866886766,-0.09905312583311732,0.3493560060704376,-0.23292489159844765,0.47112975414805425,-0.6757191538213684,0.8353276009557071,0.0036195924782474443
eye_area_asym,0.005279519325735732,0.2835039454761573,-0.008243822064191615,0.4784456302683747,0.044279759430311906,0.6694051281583355,0.16165906175250294,1.0339314009155411,0.33811783758502545,1.656706046947334,0.005279519325735732
eye_fissure_fill_r,0.0375823778291086,0.13875309926565277,0.037962907566105986,0.2407018124872758,-0.01562945380619617,0.34403018482266046,-0.1488165607363205,0.6029900928784517,-0.6022595252616689,1.005520175169989,0.0375823778291086
eye_fissure_fill_l,0.045773402223442394,0.14926215046777852,0.03347376351158339,0.2623465926806253,-0.03721191427275108,0.3703579372412743,-0.19183085617839102,0.6300827020472596,-0.6437907204856652,1.018919345075059,0.045773402223442394
eye_fissure_fill_mean,0.04140842654946536,0.14713892757948063,0.040430946337390694,0.25358751553135406,-0.012226703728580781,0.3654894739546387,-0.16797817374699342,0.6404279819034404,-0.6804454891162577,1.04557085658304,0.04140842654946536
iris_offset_x_r,0.003944373516818372,0.19883566378966538,-0.015984974614167972,0.3124781258197037,-0.005705697178314416,0.3955039616137743,0.04733819399906675,0.6205110144193904,0.10398586990172529,1.0200709070232281,0.003944373516818372
iris_offset_y_r,-0.03689978694016738,0.251070467734279,-0.038131005891187716,0.3680996043505159,0.038434283537279984,0.5306650266280916,0.19008358233192416,0.7948317564925491,0.5234904835772378,1.2357636857932097,0.03689978694016738
iris_offset_x_l,0.0019688427319593305,0.1993643439407097,0.0018585076800193235,0.35375242788081196,-0.04099318522718565,0.4405195769417023,-0.09140596536514908,0.5716145365681182,-0.0773022344809137,1.0086863280079579,0.0019688427319593305
iris_offset_y_l,-0.02010546320992824,0.23868656273508382,0.012134268619810217,0.3952125947838645,0.12261800519610147,0.5644083746767858,0.29690855115425235,0.7662464958499398,0.7290195039793927,1.3143103553117632,0.02010546320992824
gaze_asym_x,0.00365520175312631,0.25503530113057654,0.003140691404068997,0.3994949690154559,0.05772139342063617,0.5591465320188642,0.09377425745952309,0.7644128950176112,0.10907911212462079,1.2565053862978568,0.00365520175312631
gaze_asym_y,-0.03753726758591923,0.4553737408592333,-0.13221984772576073,0.7881553766037719,-0.20179388957589253,1.0555955092484992,-0.2931492060009744,1.4324280828992193,-0.6241650909494403,2.1323169361259064,0.03753726758591923
gaze_asym_norm,0.014585510549306208,0.39580340055375285,0.006670800841976228,0.5834108903622524,0.03152009321615007,0.783543170429363,-0.07549079663215229,1.092168277432982,-0.12143557066341895,1.4747353005375834,0.014585510549306208
nose_length,-0.03281077277396209,0.1892492966291454,-0.09645917748250242,0.32561157659648243,-0.12969944920395327,0.43795840914854667,-0.1127534940123216,0.5708025295766517,-0.0352640428776245,0.7365835068203376,0.03281077277396209
nose_bridge_length,-0.08139517773996863,0.2609940715472078,-0.18076055076976666,0.4637207985950909,-0.2250394020239168,0.5632391958915877,-0.23553926686799675,0.7334731550927374,-0.19666068590999825,1.0649085413300625,0.08139517773996863
nose_bridge_width,-0.15170454415899592,0.300937948794772,-0.2506052378304462,0.509912434238785,-0.31206782628110996,0.6420118434652629,-0.3047672241206082,0.808079906451789,-0.34183334154590195,1.1534723127227062,0.15170454415899592
nose_tip_width,-0.11292282213035831,0.2278953011016455,-0.20816190747628266,0.36522711573329186,-0.23686413596334693,0.46278271589478226,-0.2812456938018854,0.685253277728843,-0.46112635090614407,0.9395088291362946,0.11292282213035831
nose_base_width,-0.10061129087779302,0.17682029769171148,-0.21292110045439278,0.3366223977059887,-0.27666148310963357,0.4469392527393376,-0.30172228252938077,0.5899862105732944,-0.4484499610413609,0.8759232854123135,0.10061129087779302
